index,wiki_name,wiki_artist,year,sp_id,sp_name,sp_artist,duration,audio_features,flag
3108,"""sowing the seeds of love""",tears for fears,1989,0PbAyLrJRDxckQBLQ2Addc,sowing the seeds of love,tears for fears,376733,"{'danceability': 0.209, 'energy': 0.795, 'key': 0, 'loudness': -7.241, 'mode': 1, 'speechiness': 0.0443, 'acousticness': 0.0109, 'instrumentalness': 5.63e-05, 'liveness': 0.355, 'valence': 0.682, 'tempo': 171.975}",0
3109,"""cherish""",madonna,1989,5OKScc0MSa9Wl8g2zrulLn,cherish,madonna,303493,"{'danceability': 0.703, 'energy': 0.685, 'key': 2, 'loudness': -11.581, 'mode': 1, 'speechiness': 0.033, 'acousticness': 0.323, 'instrumentalness': 0.000567, 'liveness': 0.0537, 'valence': 0.963, 'tempo': 131.842}",0
3110,"""when the children cry""",white lion,1989,4ZCLM74MYhUy80TPiaAuee,when the children cry,white lion,258600,"{'danceability': 0.493, 'energy': 0.242, 'key': 4, 'loudness': -13.593, 'mode': 0, 'speechiness': 0.0291, 'acousticness': 0.68, 'instrumentalness': 0, 'liveness': 0.071, 'valence': 0.345, 'tempo': 130.258}",0
3111,"""18 and life""",skid row,1989,0qgrrDnUUhyxpxbBznUnzg,18 and life,skid row,229960,"{'danceability': 0.466, 'energy': 0.648, 'key': 1, 'loudness': -11.101, 'mode': 0, 'speechiness': 0.028, 'acousticness': 0.0023, 'instrumentalness': 1.49e-05, 'liveness': 0.112, 'valence': 0.305, 'tempo': 90.435}",0
3112,"""i dont want your love""",duran duran,1989,0AUys3I9ow0KSaqew5esK7,i dont want your love - 2010 remaster,duran duran,246386,"{'danceability': 0.697, 'energy': 0.659, 'key': 7, 'loudness': -12.474, 'mode': 1, 'speechiness': 0.053, 'acousticness': 0.00848, 'instrumentalness': 0.000257, 'liveness': 0.099, 'valence': 0.747, 'tempo': 108.997}",0
3113,"""second chance""",.38 special,1989,0RAn8LOs5QVMLy2xH30bUj,second chance,38 special,304693,"{'danceability': 0.664, 'energy': 0.426, 'key': 10, 'loudness': -12.852, 'mode': 1, 'speechiness': 0.0282, 'acousticness': 0.166, 'instrumentalness': 0, 'liveness': 0.0652, 'valence': 0.518, 'tempo': 118.785}",0
3114,"""the way you love me""",karyn white,1989,1TtJkmAW9Rc55iVOPgZ33z,the way you love me,karyn white,294720,"{'danceability': 0.797, 'energy': 0.785, 'key': 6, 'loudness': -7.523, 'mode': 1, 'speechiness': 0.0723, 'acousticness': 0.0712, 'instrumentalness': 0, 'liveness': 0.0691, 'valence': 0.863, 'tempo': 105.072}",0
3115,"""funky cold medina""",tone loc,1989,5YIF6HSOtHN9HdcE5IPzMe,funky cold medina,tone-loc,248160,"{'danceability': 0.988, 'energy': 0.633, 'key': 5, 'loudness': -15.012, 'mode': 0, 'speechiness': 0.0888, 'acousticness': 0.0755, 'instrumentalness': 1.88e-06, 'liveness': 0.0668, 'valence': 0.929, 'tempo': 117.493}",0
3116,"""in your room""",the bangles,1989,6BsXgrxQViV3PdAjS13uWZ,in your room,the bangles,207533,"{'danceability': 0.612, 'energy': 0.585, 'key': 5, 'loudness': -11.931, 'mode': 1, 'speechiness': 0.0337, 'acousticness': 0.0137, 'instrumentalness': 0.0068, 'liveness': 0.0635, 'valence': 0.799, 'tempo': 149.2}",0
3117,"""miss you like crazy""",natalie cole,1989,6d1IYeSfyqOTW61rPgocGD,miss you like crazy,natalie cole,234280,"{'danceability': 0.595, 'energy': 0.546, 'key': 2, 'loudness': -6.251, 'mode': 1, 'speechiness': 0.0267, 'acousticness': 0.633, 'instrumentalness': 0.00422, 'liveness': 0.0697, 'valence': 0.255, 'tempo': 131.136}",0
3118,"""lovesong""",the cure,1989,0X5C4WjQNubRysTkHOubz3,lovesong - 2010 remaster,the cure,209573,"{'danceability': 0.611, 'energy': 0.813, 'key': 9, 'loudness': -7.689, 'mode': 0, 'speechiness': 0.0279, 'acousticness': 0.339, 'instrumentalness': 0.898, 'liveness': 0.224, 'valence': 0.821, 'tempo': 140.112}",0
3119,"""secret rendezvous""",karyn white,1989,4aYOQDyN2wTOlt2mRQ6zef,secret rendezvous,karyn white,337400,"{'danceability': 0.733, 'energy': 0.689, 'key': 10, 'loudness': -13.001, 'mode': 0, 'speechiness': 0.0388, 'acousticness': 0.0503, 'instrumentalness': 0.00115, 'liveness': 0.0656, 'valence': 0.888, 'tempo': 111.695}",0
3120,"""angel eyes""",the jeff healey band,1989,3gDtrR0W8CmkyS6mweesSS,angel eyes - album edit,the jeff healey band,280933,"{'danceability': 0.536, 'energy': 0.571, 'key': 0, 'loudness': -6.879, 'mode': 1, 'speechiness': 0.0278, 'acousticness': 0.355, 'instrumentalness': 0, 'liveness': 0.0595, 'valence': 0.397, 'tempo': 126.909}",0
3121,"""patience""",guns n' roses,1989,1OEoNpiyqBghuEUaT6Je6U,patience,guns n roses,354880,"{'danceability': 0.457, 'energy': 0.297, 'key': 6, 'loudness': -12.511, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.686, 'instrumentalness': 0.000107, 'liveness': 0.109, 'valence': 0.333, 'tempo': 120.021}",0
3122,"""walk on water""",eddie money,1989,6TWYdlmZVmZYcJlQ82ff1K,walk on water,eddie money,278480,"{'danceability': 0.608, 'energy': 0.836, 'key': 2, 'loudness': -9.867, 'mode': 1, 'speechiness': 0.0467, 'acousticness': 0.28, 'instrumentalness': 0, 'liveness': 0.179, 'valence': 0.589, 'tempo': 119.033}",0
3123,"""cover girl""",new kids on the block,1989,6CCYX0JVy5qYqUvWpCvHXh,cover girl,new kids on the block,241840,"{'danceability': 0.721, 'energy': 0.765, 'key': 6, 'loudness': -13.036, 'mode': 1, 'speechiness': 0.0345, 'acousticness': 0.0344, 'instrumentalness': 2.83e-06, 'liveness': 0.322, 'valence': 0.948, 'tempo': 119.95}",0
3124,"""welcome to the jungle""",guns n' roses,1989,0G21yYKMZoHa30cYVi1iA8,welcome to the jungle,guns n roses,273480,"{'danceability': 0.453, 'energy': 0.987, 'key': 8, 'loudness': -4.485, 'mode': 1, 'speechiness': 0.0889, 'acousticness': 0.0195, 'instrumentalness': 0.283, 'liveness': 0.268, 'valence': 0.316, 'tempo': 123.544}",0
3125,"""shower me with your love""",surface,1989,0YL8rCxASTV9uBE9Sur0Ag,shower me with your love,surface,294960,"{'danceability': 0.632, 'energy': 0.356, 'key': 9, 'loudness': -10.811, 'mode': 1, 'speechiness': 0.0309, 'acousticness': 0.523, 'instrumentalness': 5.76e-06, 'liveness': 0.0961, 'valence': 0.197, 'tempo': 131.28}",0
